PUBLICATION_DATE,UID,UNIQUE_ID,SITE_ID,VISIT_NO,DATE_COL,PSTL_CODE,LINE,SAMPLE_TYPE,DEPTH,ARRIVAL_TIME,CALIBRATION_VERIFIED,CONDUCTIVITY,DEPTH_METHOD,DO2_2M,DUPLICATE_DO,E_FILE,INDEX_GPS_FIX,INDEX_LAT_DD,INDEX_LON_DD,INDEX_SITE_DEPTH,METALIMNION,ODOR,OXYGEN,PH,PRECIPITATION,SCUM,SCUM_DESC,SURFACE_COND,TEMP_CORRECTED,TEMPERATURE,COMMENT
8/21/2024,6160,NLA_CA-10078,NLA12_CA-143,1,5/2/2012,CA,0,PROF,,09:16,Y,,SONAR,10.4,Y,,3D,37.564273,-121.995518,8.3,,N,,,NONE,NO,,FLAT,,,
8/21/2024,6160,NLA_CA-10078,NLA12_CA-143,1,5/2/2012,CA,1,PROF,0,,,,,,,,,,,,,,10.8,7,,,,,,12,
8/21/2024,6160,NLA_CA-10078,NLA12_CA-143,1,5/2/2012,CA,2,PROF,1,,,660,,,,,,,,,,,10.2,8.3,,,,,,20.5,
8/21/2024,6160,NLA_CA-10078,NLA12_CA-143,1,5/2/2012,CA,3,PROF,2,,,660,,,,,,,,,,,10.2,8.4,,,,,,20.5,
8/21/2024,6160,NLA_CA-10078,NLA12_CA-143,1,5/2/2012,CA,4,PROF,3,,,660,,,,,,,,,,,10.8,8.4,,,,,,20.5,
8/21/2024,6160,NLA_CA-10078,NLA12_CA-143,1,5/2/2012,CA,5,PROF,4,,,661,,,,,,,,,T,,10.2,8.4,,,,,,20.3,
8/21/2024,6160,NLA_CA-10078,NLA12_CA-143,1,5/2/2012,CA,6,PROF,5,,,662,,,,,,,,,B,,9.3,8.3,,,,,,19.2,
8/21/2024,6160,NLA_CA-10078,NLA12_CA-143,1,5/2/2012,CA,7,PROF,6,,,666,,,,,,,,,,,7.2,8.2,,,,,,17.8,
8/21/2024,6160,NLA_CA-10078,NLA12_CA-143,1,5/2/2012,CA,8,PROF,7,,,675,,,,,,,,,,,4.1,8.1,,,,,,16.8,
8/21/2024,6160,NLA_CA-10078,NLA12_CA-143,1,5/2/2012,CA,9,PROF,7.8,,,676,,,,,,,,,,,2.6,8.1,,,,,,16.6,
8/21/2024,6187,NLA_AZ-10016,NLA12_AZ-101,1,5/8/2012,AZ,0,PROF,,08:00,Y,,SONAR,9.31,N,,3D,33.56291,-111.51788,23.3,,N,,,NONE,NO,,RIPPLES,Y,,77 FT DEEP AT INDEX SITE.;SPECIFIC CONDUCTIVITY MS/CM ALL >1000 (ADJUST BY 10-³)
